cell_set_accession	cell_label	cell_fullname	parent_cell_set_accession	parent_cell_set_name	labelset	cell_ontology_term_id	cell_ontology_term	rationale	rationale_dois	marker_gene_evidence	synonyms	Cluster ID	Class auto_annotation	Neurotransmitter auto_annotation	Neuropeptide auto_annotation	Subtype auto_annotation	Transferred MTG Label	Top three regions	Top three dissections	Top Enriched Genes	Number of cells	DoubletFinder score	Total UMI	Fraction unspliced	Fraction mitochondrial	H19.30.002	H19.30.001	H18.30.002	H18.30.001	Fraction cells from top donor	Number of donors	subcluster_id
CS202210140_15	VendAC_14		CS202210140_465	Vascular	Cluster							14	ENDO		EDN NAMPT	ARTERIOLE CAP	Endo	Hippocampus: 23.8%, Cerebral cortex: 23.3%, Thalamus: 10.3%	Human A35r: 14.0%, Human CA1: 8.7%, Human CBV: 5.5%	CLDN5, FLT1, ABCG2, MECOM, CD34, SMAD6, SOX18, EPAS1, SEMA3G, HLA-E	748.0	0.019628259	3133.082888	0.624385319	0.007243941	153.0	104.0	485.0	6.0	0.648395722	4.0	
CS202210140_16	VendC_15		CS202210140_465	Vascular	Cluster	CL:0002144	capillary endothelial cell	BMX = large artery		FLT1|CLDN5|PECAM1|MFSD2A		15	ENDO		EDN NAMPT NUCB	CAP	Endo	Cerebral cortex: 23.2%, Hippocampus: 15.7%, Thalamus: 15.3%	Human A35r: 8.6%, Human CBV: 6.6%, Human CA1: 4.8%	CLDN5, ABCG2, FLT1, MECOM, IFI27, TM4SF18, HLA-E, CAVIN2, FLI1, SLC38A5	2746.0	0.024124427	3281.848871	0.600418074	0.007209329	710.0	505.0	1522.0	9.0	0.554260743	4.0	
CS202210140_17	VendVC_16		CS202210140_465	Vascular	Cluster	CL:0002144	capillary endothelial cell					16	ENDO		NAMPT NUCB	CAP	Endo	Cerebral cortex: 25.5%, Hippocampus: 17.8%, Midbrain: 8.4%	Human A35r: 14.8%, Human CA1: 5.6%, Human SpC: 4.1%	CLDN5, MECOM, VWF, FLT1, ABCG2, FLI1, NOSTRIN, LINC02147, TGM2, CFH	1046.0	0.026046707	4283.276291	0.684555871	0.004548541	191.0	199.0	648.0	8.0	0.619502868	4.0	
CS202210140_18	VendV_17		CS202210140_465	Vascular	Cluster	CL:0002543	vein endothelial cell					17	ENDO		EDN NAMPT NUCB UBL	VENOUS	Endo	Hypothalamus: 26.7%, Medulla: 21.8%, Pons: 15.8%	Human MN: 13.9%, Human IO: 9.9%, Human HTHso: 8.9%	IL1R1, VCAM1, CLDN5, VWF, CLEC2B, ICAM1, SERPINE1, ZFP36, PLA1A, MECOM	101.0	0.029247301	5335.990099	0.636428709	0.004547217	22.0	33.0	46.0	0.0	0.455445545	3.0	
CS202210140_19	VendA_18		CS202210140_465	Vascular	Cluster	CL:1000413	endothelial cell of artery			FLT1|CLDN5|PECAM1|BMX|VEGFC|JUNB		18	ENDO		NAMPT NUCB	ARTERIOLE ARTERY		Cerebral cortex: 23.3%, Medulla: 16.4%, Thalamus: 14.6%	Human A35r: 10.4%, Human IO: 7.3%, Human MN: 6.9%	MECOM, CLDN5, MGP, FLT1, HLA-E, TM4SF1, SMAD6, EPAS1, KLF2, CXCL2	451.0	0.023919414	3259.514412	0.592016006	0.010042449	113.0	131.0	207.0	0.0	0.458980044	3.0	
CS202210140_20	Vsmc_19		CS202210140_465	Vascular	Cluster							19	ENDO VSMC		IGF NAMPT NUCB UBL	FIBMYO		Thalamus: 28.4%, Midbrain: 12.2%, Medulla: 11.8%	Human ANC: 7.4%, Human SN-RN: 5.7%, Human Pul: 5.7%	MYL9, CARMN, CCL19, IFITM2, FHL5, ADIRF, CLDN5, IFITM3, NOTCH3, CFH	229.0	0.030009837	2780.292576	0.550435024	0.017040154	52.0	63.0	111.0	3.0	0.484716157	4.0	
CS202210140_21	Vsmc_20		CS202210140_465	Vascular	Cluster	CL:0002590	smooth muscle cell of the brain vasculature	Inferred from expression of: RGS5 (Cho et al., 2003); PDGFRB (Sweeney et al., 2016); MYH11, MYOCD, CNN1, NG2 / CSPG4 (Kumar et al., 2017).   For example, the absence of α‐smooth muscle actin (SMA) on NG2‐positive cells in CNS capillaries has led some workers to the erroneous conclusion that NG2 is expressed by endothelial cells, rather than mural cells, in this microvasculature (Schrappe et al., 1991; Grako and Stallcup, 1995). Our current results demonstrate that, although SMA is an excellent marker for smooth muscle cells, it is not always an appropriate marker for pericytes in vivo. (Ozerdem et al., 2001)	https://doi.org/10.1096/fj.02-0340fje|https://doi.org/10.1038/nn.4288|https://doi.org/10.1016/j.celrep.2017.05.019|https://doi.org/10.1002/dvdy.1200	PDGFRB|ACTA2|MYH11		20	VSMC		AGT NAMPT UBL			Thalamus: 21.8%, Cerebral cortex: 13.7%, Medulla: 12.4%	Human MN: 10.5%, Human IO: 7.0%, Human Pul: 4.0%	MYL9, CARMN, ADIRF, FHL5, ACTA2, VIM, TBX18, MUSTN1, TBX2, NOTCH3	845.0	0.034817885	3029.688757	0.55909446	0.015250756	172.0	280.0	391.0	2.0	0.462721893	4.0	
CS202210140_22	Per_21		CS202210140_465	Vascular	Cluster	CL:0000669	pericyte	Inferred from expression of: RGS5 (Cho et al., 2003);  PDGFRB, ANPEP (in a subset) (Sweeney et al., 2016); MYH11, MYOCD, CNN1, NG2 / CSPG4 (Kumar et al., 2017).   For example, the absence of α‐smooth muscle actin (SMA) on NG2‐positive cells in CNS capillaries has led some workers to the erroneous conclusion that NG2 is expressed by endothelial cells, rather than mural cells, in this microvasculature (Schrappe et al., 1991; Grako and Stallcup, 1995). Our current results demonstrate that, although SMA is an excellent marker for smooth muscle cells, it is not always an appropriate marker for pericytes in vivo. (Ozerdem et al., 2001)	https://doi.org/10.1096/fj.02-0340fje|https://doi.org/10.1038/nn.4288|https://doi.org/10.1016/j.celrep.2017.05.019	PDGFRB|CSPG4		21	PER		AGT IGF UBL		VLMC	Thalamus: 28.3%, Pons: 17.9%, Basal forebrain: 9.8%	Human LG: 8.0%, Human Pul: 7.0%, Human PnEN: 6.7%	IFITM2, CARMN, MUSTN1, NOTCH3, GGT5, IFITM3, SLC6A12, MYL9, BGN, ITIH5	1753.0	0.036719091	2761.257273	0.517748738	0.013197038	582.0	356.0	813.0	2.0	0.463776383	4.0	
CS202210140_23	Per_22		CS202210140_465	Vascular	Cluster	CL:0000669	pericyte	Inferred from expression of: RGS5 (Cho et al., 2003);  PDGFRB, ANPEP (in a subset) (Sweeney et al., 2016); MYH11, MYOCD, CNN1, NG2 / CSPG4 (Kumar et al., 2017).   For example, the absence of α‐smooth muscle actin (SMA) on NG2‐positive cells in CNS capillaries has led some workers to the erroneous conclusion that NG2 is expressed by endothelial cells, rather than mural cells, in this microvasculature (Schrappe et al., 1991; Grako and Stallcup, 1995). Our current results demonstrate that, although SMA is an excellent marker for smooth muscle cells, it is not always an appropriate marker for pericytes in vivo. (Ozerdem et al., 2001)	https://doi.org/10.1096/fj.02-0340fje|https://doi.org/10.1038/nn.4288|https://doi.org/10.1016/j.celrep.2017.05.019	PDGFRB|CSPG4		22	PER		IGF		VLMC	Thalamus: 34.2%, Cerebral cortex: 15.9%, Basal forebrain: 10.2%	Human CBV: 6.7%, Human CM: 5.4%, Human LP: 5.3%	CARMN, NOTCH3, SLC6A12, ITIH5, GGT5, SLC12A7, IFITM2, LINC02147, CYSLTR2, BGN	1856.0	0.029533909	3559.655711	0.607943216	0.01293205	634.0	345.0	868.0	9.0	0.467672414	4.0	
CS202210140_24	Per_23		CS202210140_465	Vascular	Cluster							23			IGF		VLMC	Thalamus: 48.8%, Cerebral cortex: 25.0%, Basal forebrain: 10.7%	Human Pul: 31.0%, Human STG: 7.1%, Human LP: 6.0%	ITIH5, SLC6A12, SLC6A13, ATP1A2, DCN, PRELP, COLEC12, IFITM2, MUSTN1, TFPI	84.0	0.014988394	2054.154762	0.564226216	0.015552875	43.0	14.0	27.0	0.0	0.511904762	3.0	
CS202210140_25	Fbl_24		CS202210140_466	Fibroblast	Cluster							24	FIB		IGF NAMPT	PIA PVF		Basal forebrain: 38.0%, Medulla: 32.3%, Hippocampus: 25.1%	Human SEP: 38.0%, Human MoAN: 17.6%, Human CA1R-CA2R-CA3R: 16.8%	C7, CFH, IGF2, COL1A2, LINC02126, MGP, COL3A1, TBX18, FBLN1, TTR	279.0	0.034615305	3663.659498	0.621318333	0.010746794	42.0	128.0	109.0	0.0	0.458781362	3.0	
CS202210140_26	Fbl_25		CS202210140_466	Fibroblast	Cluster							25	FIB		EDN IGF	PIA	VLMC	Thalamus: 22.3%, Cerebral cortex: 20.0%, Pons: 15.0%	Human MN: 8.3%, Human A35r: 8.2%, Human CM-Pf: 6.6%	COL1A2, TBX18, CFH, IGF2, COL3A1, ITIH5, FLVCR2, FMO2, LINC02147, BMP5	709.0	0.034415482	4192.19464	0.689267884	0.008552175	171.0	185.0	348.0	5.0	0.490832158	4.0	
CS202210140_27	Fbl_26		CS202210140_466	Fibroblast	Cluster							26	FIB		EDN IGF	PIA	VLMC	Thalamus: 20.7%, Basal forebrain: 15.4%, Pons: 13.1%	Human SEP: 6.0%, Human CBV: 5.7%, Human SN: 4.6%	COL1A2, TBX18, FMO2, IGF2, ITIH5, C7, FBLN1, FLVCR2, SLC6A20, COL15A1	1340.0	0.035093778	3624.874627	0.684470752	0.009661993	348.0	364.0	627.0	1.0	0.467910448	4.0	
CS202210140_28	Fbl_27		CS202210140_466	Fibroblast	Cluster							27	FIB		EDN IGF	PIA	VLMC	Thalamus: 34.3%, Cerebral cortex: 15.0%, Pons: 13.3%	Human CM-Pf: 8.7%, Human LG: 4.4%, Human VLN: 4.3%	TBX18, COL1A2, FMO2, ITIH5, LINC02147, COL15A1, FLVCR2, COLEC12, C7, LINC02058	2056.0	0.026503053	4152.054961	0.718434293	0.008202063	545.0	513.0	995.0	3.0	0.483949416	4.0	
CS202210140_29	Fbl_28		CS202210140_466	Fibroblast	Cluster							28	FIB		EDN IGF	PIA	VLMC	Thalamus: 36.4%, Cerebral cortex: 12.1%, Pons: 11.0%	Human LG: 7.9%, Human Pul: 6.0%, Human LP: 4.6%	COL1A2, TBX18, C7, ITIH5, IGF2, FMO2, ISLR, LINC02147, FBLN1, DCN	3767.0	0.033419676	3027.037961	0.591507661	0.008756879	1067.0	1140.0	1551.0	9.0	0.411733475	4.0	
CS202210140_30	Fbl_29		CS202210140_466	Fibroblast	Cluster							29			IGF NAMPT			Medulla: 41.3%, Spinal cord: 39.7%, Thalamus: 4.8%	Human SpC: 39.7%, Human IO: 25.4%, Human MoRF-MoEN: 7.9%	IGFBP6, VIM, BNC2, FLVCR2, IGF2, COL1A2, CFH, EBF2, CD177, KLF2	63.0	0.0183312	2819.793651	0.621917883	0.006285188	8.0	14.0	41.0	0.0	0.650793651	3.0	
CS202210140_31	Fbl_30		CS202210140_466	Fibroblast	Cluster							30	CHRP		IGF	ARACH		Cerebral cortex: 35.3%, Basal forebrain: 29.7%, Medulla: 10.6%	Human SEP: 29.0%, Human A35r: 21.2%, Human MN: 6.4%	CFH, SLC6A20, COL1A2, KDR, VIM, SLC5A5, COL3A1, SLC6A13, SLC16A12, SLC6A12	283.0	0.018868697	4424.003534	0.741249938	0.007789401	28.0	78.0	177.0	0.0	0.625441696	3.0	
CS202210140_32	Fbl_31		CS202210140_466	Fibroblast	Cluster	CL:4023097	arachnoid barrier cell		https://doi.org/10.1016/j.devcel.2020.06.009	AQP4|GDF10|GABRG3|WIF1|LGR6		31	CHRP		IGF NAMPT NUCB	ABC PIA		Basal forebrain: 47.3%, Medulla: 20.3%, Hypothalamus: 12.4%	Human SEP: 47.2%, Human MN: 11.8%, Human MoAN: 8.8%	PTGDR, BNC2, BMP5, FOXC1, COL3A1, COL1A2, SLPI, SFRP2, SPTLC3, TBX15	659.0	0.022172741	5195.570561	0.678051805	0.008754696	77.0	211.0	371.0	0.0	0.562974203	3.0	
CS202210140_33	OPC_32		CS202210140_467	Oligodendrocyte precursor	Cluster							32	OPC		NUCB NXPH SCG proSAAS		OPC	Hypothalamus: 54.7%, Thalamus: 16.6%, Amygdala: 8.5%	Human MN: 54.6%, Human CM-Pf: 12.1%, Human CEN: 8.3%	MROH9, VCAN-AS1, FMO6P, FMO3, BX284613.2, AL512308.1, LHFPL3-AS1, Z94057.1, AC004852.2, LINC00402	929.0	0.027782191	13125.18084	0.823972613	0.001356298	257.0	464.0	207.0	1.0	0.499461787	4.0	
CS202210140_34	OPC_33		CS202210140_467	Oligodendrocyte precursor	Cluster							33	OPC		NXPH proSAAS		OPC	Pons: 23.8%, Midbrain: 22.9%, Thalamus: 19.2%	Human PnRF: 8.4%, Human CBV: 7.8%, Human SN-RN: 7.8%	BX284613.2, MROH9, FMO6P, PDGFRA, VCAN, FERMT1, AL512308.1, OLIG2, AC004852.2, COL9A1	48139.0	0.023691145	5625.469661	0.727416831	0.002842239	10915.0	13964.0	23209.0	51.0	0.482124681	4.0	
CS202210140_35	OPC_34		CS202210140_467	Oligodendrocyte precursor	Cluster							34	OPC		NXPH proSAAS		OPC	Hippocampus: 33.6%, Cerebral cortex: 30.9%, Amygdala: 16.5%	Human CA1: 11.7%, Human CEN: 8.5%, Human A35r: 6.4%	AC004852.2, AL512308.1, PDGFRA, BX284613.2, GPR17, VCAN, CSPG4, AC117464.1, OLIG2, FERMT1	31058.0	0.014959875	8316.656417	0.775092136	0.002870854	5662.0	4705.0	20601.0	90.0	0.66330736	4.0	
CS202210140_36	OPC_35		CS202210140_467	Oligodendrocyte precursor	Cluster							35	OPC		NXPH proSAAS		OPC	Cerebral cortex: 62.3%, Hippocampus: 21.4%, Basal forebrain: 6.5%	Human A35r: 17.0%, Human Sub: 9.1%, Human MTG: 8.0%	AC004852.2, PDGFRA, GPNMB, GPR17, AL512308.1, OLIG2, COL20A1, CSPG4, OLIG1, AC117464.1	23965.0	0.009614567	6078.396078	0.756767334	0.002986645	4317.0	3110.0	16477.0	61.0	0.687544335	4.0	
CS202210140_37	OPC_36		CS202210140_467	Oligodendrocyte precursor	Cluster							36	OPC		NXPH proSAAS		OPC	Cerebral cortex: 33.7%, Thalamus: 12.5%, Midbrain: 11.5%	Human A35r: 20.8%, Human SpC: 8.0%, Human SN: 5.4%	AC004852.2, BX284613.2, PDGFRA, AL512308.1, VCAN, OLIG2, OLIG1, GPR17, CSPG4, FERMT1	1643.0	0.133045254	7523.032867	0.727895082	0.004117665	278.0	388.0	960.0	17.0	0.584297018	4.0	
CS202210140_38	COP_37		CS202210140_468	Committed oligodendrocyte precursor	Cluster							37	OLIGO		NXPH proSAAS	COP	OPC	Cerebral cortex: 35.6%, Hippocampus: 19.5%, Amygdala: 8.2%	Human A35r: 6.3%, Human CA1: 4.8%, Human MTG: 4.5%	GPR17, AL512308.1, TNS3, BCAS1, MIR503HG, AC008080.4, NKX2-2, GPNMB, INAVA, FIBIN	796.0	0.036323128	7398.628141	0.744992292	0.003369973	330.0	150.0	316.0	0.0	0.414572864	3.0	
CS202210140_39	COP_38		CS202210140_468	Committed oligodendrocyte precursor	Cluster							38	OLIGO		NXPH proSAAS	COP	OPC	Hippocampus: 29.9%, Cerebral cortex: 29.5%, Pons: 7.8%	Human CA1: 8.9%, Human A35r: 6.5%, Human PnEN: 5.6%	GPR17, AC008080.4, FRG2DP, AL512308.1, MDFI, LINC01447, TNS3, BCAS1, ADAM33, MIR503HG	779.0	0.047351314	8149.983312	0.694729319	0.005274122	275.0	132.0	371.0	1.0	0.476251605	4.0	
CS202210140_40	COP_39		CS202210140_468	Committed oligodendrocyte precursor	Cluster							39	OLIGO			COP		Cerebral cortex: 28.1%, Hippocampus: 19.7%, Amygdala: 14.6%	Human CA1: 7.3%, Human A35r: 5.6%, Human Pir: 3.9%	AC008080.4, GPR17, AC020909.2, APCDD1, ACAN, DCT, AC022433.1, KANK2, FRG2DP, DOCK6	178.0	0.035651772	8825.292135	0.68816144	0.005952303	34.0	17.0	127.0	0.0	0.713483146	3.0	
CS202210140_41	Oligo_40		CS202210140_469	Oligodendrocyte	Cluster							40	OLIGO				Oligo	Hippocampus: 24.8%, Cerebral cortex: 23.4%, Amygdala: 10.0%	Human CA4C-DGC: 4.7%, Human DGR-CA4Rpy: 4.6%, Human CA1: 4.3%	OPALIN, CD9, AC020909.2, MAL, LINC00639, AC110285.1, PLLP, LINC01170, MAG, SLCO1A2	4913.0	0.014927828	4145.45919	0.681149571	0.003058072	1373.0	1161.0	2363.0	16.0	0.480968858	4.0	
CS202210140_42	COP_41		CS202210140_468	Committed oligodendrocyte precursor	Cluster							41	OLIGO					Amygdala: 24.7%, Hypothalamus: 23.3%, Basal forebrain: 20.2%	Human HTHso: 18.1%, Human La: 17.3%, Human GPe: 16.1%	OPALIN, LINC01608, CD22, CDH1, FA2H, LINC01099, LINC01792, MYRF, LINC00639, AC110285.1	1310.0	0.02729107	2983.637405	0.685196031	0.012288976	273.0	124.0	910.0	3.0	0.694656489	4.0	
CS202210140_43	COP_42		CS202210140_468	Committed oligodendrocyte precursor	Cluster							42	OLIGO					Thalamus: 92.7%, Midbrain: 2.3%, Pons: 1.5%	Human VLN: 69.8%, Human ANC: 6.2%, Human LG: 5.0%	CNDP1, LINC01608, GREM1, OPALIN, FA2H, AC110285.1, MYRF, CD22, LINC01792, LINC00906	1170.0	0.02915232	3293.615385	0.704598083	0.015639372	158.0	79.0	933.0	0.0	0.797435897	3.0	
CS202210140_44	COP_43		CS202210140_468	Committed oligodendrocyte precursor	Cluster							43	OLIGO		NXPH			Thalamus: 36.2%, Hypothalamus: 18.0%, Amygdala: 10.3%	Human VLN: 24.5%, Human HTHso: 11.5%, Human La: 6.0%	SLC5A11, FA2H, AL033523.1, CD22, AC012494.1, MOBP, MYRF, SH3TC2-DT, PRR5L, CNDP1	417.0	0.053554502	5049.023981	0.694249899	0.021558059	71.0	40.0	304.0	2.0	0.729016787	4.0	
CS202210140_45	Oligo_44		CS202210140_469	Oligodendrocyte	Cluster							44	OLIGO		UBL		Oligo	Thalamus: 20.9%, Pons: 19.2%, Midbrain: 19.1%	Human SN: 10.9%, Human PnRF: 6.9%, Human CbDN: 5.8%	AC004690.2, SLC5A11, ITGA2, AL033523.1, LINC02882, MOG, FOLH1, CARNS1, LINC01949, LRP2	101039.0	0.035661376	5993.926929	0.675890367	0.002736209	24169.0	25713.0	50647.0	510.0	0.501261889	4.0	
CS202210140_46	Oligo_45		CS202210140_469	Oligodendrocyte	Cluster							45	OLIGO				Oligo	Cerebral cortex: 20.0%, Basal forebrain: 18.5%, Midbrain: 15.8%	Human GPe: 8.4%, Human SN: 7.4%, Human SN-RN: 4.8%	LINC01608, OPALIN, LINC01792, SLCO1A2, LINC02882, FOLH1, MAL, ASPA, AC108721.2, SH3TC2	109325.0	0.029193504	5123.711502	0.690635811	0.002855982	26015.0	28274.0	54509.0	527.0	0.49859593	4.0	
CS202210140_47	Oligo_46		CS202210140_469	Oligodendrocyte	Cluster							46	OLIGO				Oligo	Thalamus: 22.7%, Midbrain: 19.9%, Cerebral cortex: 13.7%	Human SN-RN: 9.7%, Human SN: 6.7%, Human CbDN: 5.9%	CNDP1, LINC01608, OPALIN, RNASE1, LINC01792, NKX6-2, MAG, PPP1R14A, CD9, TMEM98	60616.0	0.020621418	3740.694767	0.653366442	0.002339629	15228.0	22986.0	22111.0	291.0	0.37920681	4.0	
CS202210140_48	Oligo_47		CS202210140_469	Oligodendrocyte	Cluster							47	OLIGO				Oligo	Thalamus: 24.9%, Cerebral cortex: 20.9%, Hippocampus: 13.8%	Human GPe: 5.4%, Human STH: 4.8%, Human MTG: 4.2%	OPALIN, LINC01608, CD9, LINC01792, RNASE1, CNDP1, AC110285.1, PLLP, NKX6-2, MAG	124837.0	0.011555942	3251.029334	0.650502399	0.004911437	32423.0	39193.0	52740.0	481.0	0.422470902	4.0	
CS202210140_49	Oligo_48		CS202210140_469	Oligodendrocyte	Cluster							48	OLIGO		UBL		Oligo	Basal forebrain: 47.8%, Thalamus: 42.2%, Hypothalamus: 5.3%	Human GPe: 47.6%, Human CM-Pf: 36.8%, Human MN: 5.3%	AC061958.1, PDE4B-AS1, AL589787.1, LINC01608, MUSK, AC103831.1, AC026746.1, OPALIN, AC093330.1, SPATA22	2190.0	0.050799098	8773.686301	0.752514784	0.001809885	190.0	1969.0	31.0	0.0	0.899086758	3.0	
CS202210140_50	Oligo_49		CS202210140_469	Oligodendrocyte	Cluster							49	OLIGO		UBL proSAAS		Oligo	Pons: 30.3%, Midbrain: 20.2%, Medulla: 12.2%	Human PnRF: 10.0%, Human SN: 7.6%, Human CbDN: 7.3%	MBOAT1, AC110809.1, AC008945.2, S100A1, AC114485.1, AC007106.2, LINC01445, LINC01549, AC004690.2, S100B	84282.0	0.041704645	7580.089912	0.670347523	0.001647304	23784.0	19762.0	40386.0	350.0	0.479177048	4.0	
CS202210140_51	Oligo_50		CS202210140_469	Oligodendrocyte	Cluster							50	OLIGO				Oligo	Hypothalamus: 90.7%, Thalamus: 3.6%, Basal forebrain: 3.6%	Human MN: 90.7%, Human GPe: 3.6%, Human CM-Pf: 3.5%	PTCSC3, AC012494.2, AL591115.1, AC103831.1, AC093330.1, AL589787.1, AC061958.1, PDE4B-AS1, AC026746.1, AC108721.1	3044.0	0.038043685	13546.87155	0.824270298	0.000135339	138.0	2901.0	5.0	0.0	0.953022339	3.0	
CS202210140_52	Bgl_51		CS202210140_493	Bergmann glia	Cluster							51	ASTRO		NUCB			Cerebellum: 95.8%, Pons: 1.9%, Medulla: 1.9%	Human CBV: 82.3%, Human CBL: 13.3%, Human MoAN: 1.3%	LINC01727, PAX3, AL627316.1, LCAT, AL355306.2, LINC01726, SMTN, AC098656.1, LGR6, AL449403.3	8041.0	0.015745573	5965.431041	0.70944008	0.000835408	2628.0	4013.0	1400.0	0.0	0.49906728	3.0	
CS202210140_53	Astro_52		CS202210140_470	Astrocyte	Cluster							52	ASTRO		AGT		Astro	Cerebral cortex: 90.3%, Hypothalamus: 3.9%, Hippocampus: 2.2%	Human MTG: 14.9%, Human STG: 7.9%, Human TH-TL: 6.2%	LINC01727, FGFR3, LINC00499, ZNF98, PRDM16-DT, F3, GJB6, PAPLN, GJA1, OAF	25484.0	0.009044534	6091.770013	0.664276544	0.00286302	6251.0	4306.0	14724.0	203.0	0.57777429	4.0	
